FIPS,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
51001,Accomack County,Virginia,0.4533,-0.21311475409836064,-0.02593273035613341,0.31235773331735955,0.18678304834132264,0.09468277106761072,0.12942677868765287,0.3097374543037554,0.1444991789819376,0.27461139896373055,0.045856161129936346
51007,Amelia County,Virginia,0.4323,-0.11502890173410404,0.031791907514450865,0.5127836611195159,0.15165714285714282,0.02879327078615335,0.08101613456917267,0.2425629290617849,0.1248339973439575,0.5172413793103449,0.011825809029165002
51011,Appomattox County,Virginia,0.4298,-0.17294326814288025,0.013091967027638598,0.5838892699046075,0.2575388611550793,0.05534454693434617,0.07135541140320929,0.3573667711598746,0.29720853858784896,0.11842105263157894,0.00039832702648874725
51025,Brunswick County,Virginia,0.4352,-0.2479254868755292,-0.13581710414902626,-0.143667414609823,0.2081688609449973,0.00886839304717985,0.050283095173901324,0.54421768707483,0.21987641606591143,0.0,0.0016266510508165788
51029,Buckingham County,Virginia,0.4387,-0.25489168413696717,-0.09206848357791754,0.28588403041825095,0.17519440482215987,0.09458189790165988,0.09460654288240496,0.21754385964912282,0.20080645161290323,0.4807692307692308,0.0046111665004985045
51031,Campbell County,Virginia,0.42,-0.1622982511351886,0.030076878118958775,0.6406676728474917,0.16553854909852228,0.05817245817245817,0.05655790147152911,0.1845679012345679,0.10649627263045794,0.013333333333333334,0.015366519957504932
51033,Caroline County,Virginia,0.4235,0.01709090909090909,0.06081818181818182,0.3759113444152814,0.33103891336270186,0.05609311457018651,0.0837827173484151,0.27293754818812643,0.053518334985133795,0.20723684210526316,0.011257683541681055
51036,Charles City County,Virginia,0.5194,-0.18758526603001363,-0.10607094133697136,-0.011001906997212851,0.09761227970437747,0.05560458958517211,0.09923916639100232,0.14893617021276595,0.13231197771587744,0.1,0.0021141649048625794
51037,Charlotte County,Virginia,0.4747,-0.2907077724706904,-0.0729483282674772,0.41301163291684617,0.21054744118630841,0.02564102564102564,0.09286412512218964,0.03225806451612903,0.15311004784688995,0.72,0.00144014401440144
51041,Chesterfield County,Virginia,0.4176,0.09224971450323563,0.12921202893033878,0.37104986686974356,0.16866679467485923,0.052422488043513946,0.059619684111834985,0.2854830640652129,0.0677339302223736,0.11293333333333333,0.028050888780531053
51049,Cumberland County,Virginia,0.4354,-0.07142857142857142,0.02957393483709273,0.3351949529423932,0.22317114520640846,0.11865258924082453,0.08754665761791652,0.875,0.02303030303030303,,0.001845619368146781
51053,Dinwiddie County,Virginia,0.4337,-0.044799376704324115,0.02795091546552396,0.3073823109843081,0.1384972632277326,0.043110205361341906,0.09843245735361918,0.083,0.09151329243353783,0.0,0.004701192222347587
51057,Essex County,Virginia,0.4254,-0.20865317515701326,-0.08978832286578274,0.1590245739572545,0.4008951077730336,0.04553903345724907,0.10581222056631892,0.009324009324009324,0.12008281573498965,0.03076923076923077,0.00626367070988268
51073,Gloucester County,Virginia,0.3887,0.0010751243112484881,0.11020024190297004,0.7501943710153942,0.23394455397177105,0.02244176119038907,0.06215213358070501,0.015463917525773196,0.07503234152652005,0.0,0.0010075703937694025
51075,Goochland County,Virginia,0.4727,0.20837740638883012,0.2645441083139412,0.6213991769547325,0.2471923632279801,0.024153547552296744,0.10049937578027465,0.10344827586206896,0.02912621359223301,0.0,0.003474009264024704
51081,Greensville County,Virginia,0.4489,-0.17153628652214892,-0.11530003141690229,-0.1855211513301352,0.14846575801854023,0.0526027397260274,0.12513818262215343,0.3723404255319149,0.11066398390342053,0.0,0.003914785142024763
51083,Halifax County,Virginia,0.4541,-0.30068117873537686,-0.10839626832518881,0.2462603716255697,0.15389238165680474,0.04583901773533424,0.05899628573896519,0.033810143042912875,0.1734921816827997,0.0,0.00246669955599408
51085,Hanover County,Virginia,0.4176,0.1395931530637559,0.21736541801041925,0.7430606415702359,0.20732706887971664,0.03374626228107646,0.05570405217577248,0.2020057306590258,0.06701030927835051,0.16622340425531915,0.006565078020465331
51087,Henrico County,Virginia,0.4607,0.032401011587966634,0.07764315102102443,0.22106566563430183,0.1929597907395888,0.03721650263045284,0.0697470947288242,0.27514433302947433,0.08976527370983045,0.16290480863591755,0.020807429530975606
51089,Henry County,Virginia,0.4387,-0.318044453109768,-0.06287775394813803,0.4646122520899818,0.17328042328042326,0.024665981500513873,0.08100906022384083,0.2840013703323056,0.14087117701575533,0.22018348623853212,0.007246525568123499
51093,Isle Of Wight County,Virginia,0.4395,0.022107149970125473,0.10774746066520613,0.4757578131119292,0.321953438130703,0.0772466986093257,0.09843348141220482,0.27997227997227997,0.15064695009242143,0.4122137404580153,0.006290517525546643
51095,James City County,Virginia,0.4209,0.12326879117923895,0.18404598628479227,0.6173954433766868,0.2070143656242054,0.035015696691620385,0.08786212729964052,0.19602872834812,0.13359375,0.08800773694390715,0.009998376447667497
51097,King And Queen County,Virginia,0.4343,-0.15090973956475204,0.00856225472707813,0.41778774289985054,0.28684121290000175,0.08022239872915012,0.0539546290619252,0.21645021645021645,0.19161676646706588,1.0,0.0
51099,King George County,Virginia,0.3751,0.15161461090524087,0.18581259925886712,0.5482949204797534,0.4377893129770992,0.01676785198034114,0.0544280442804428,0.09900990099009901,0.023474178403755867,0.02318840579710145,0.00806805927227703
51101,King William County,Virginia,0.3758,-0.0167991600419979,0.05174741262936853,0.6204671349437496,0.1317019866363327,0.049816345270890725,0.06283118849356548,0.02594810379241517,0.09615384615384616,0.21621621621621623,0.004430418158645384
51103,Lancaster County,Virginia,0.5056,-0.0823552049259188,0.01192995959207235,0.3798094540124588,0.3191808968005939,0.09184782608695652,0.09222994314592546,0.0,0.23183391003460208,,0.008082921262837581
51109,Louisa County,Virginia,0.4519,-0.017686020293122887,0.08885287485907553,0.6307626023265833,0.19840315780030504,0.04915534103899403,0.13598738667717777,0.27960526315789475,0.1679604798870854,0.02717391304347826,0.0069474103812533815
51111,Lunenburg County,Virginia,0.406,-0.266728624535316,-0.08712825278810409,0.2532966115840427,0.30397289136998507,0.06485610052695581,0.054160789844851905,0.44905008635578586,0.19047619047619047,0.09876543209876543,0.016995181778361804
51115,Mathews County,Virginia,0.4422,0.013490725126475547,0.12731871838111297,0.7526906878802059,0.29304116786577905,0.04686468646864687,0.3278061224489796,0.25101214574898784,0.43119266055045874,0.0,0.0021980705824887043
