FIPS,County,State,Vacancy Rate,No Vehicle,Single Parent Household,Multi-Unit Structures,Mobile Homes,Owner Occupied Housing,Crowded Housing,Lack Complete Plumbing,Median Home Value,Median Monthly Mortgage,Median Gross Rent,No Home Broadband,Rent Burden (40% Income)
51001,Accomack County,Virginia,0.3466598956650201,0.057412105835447626,0.055045223289994345,0.015419417386085592,0.16652047458566085,0.6686687394007914,0.017100056529112492,0.009185980780101752,171400.0,1278.0,884.0,0.2298615036743923,0.22456813819577734
51007,Amelia County,Virginia,0.08546255506607929,0.0025919326097521463,0.04258188824662813,0.0037004405286343613,0.2581497797356828,0.8285163776493256,0.05857418111753372,0.0,207300.0,1367.0,1005.0,0.22813102119460504,0.19213483146067414
51011,Appomattox County,Virginia,0.14791351053573887,0.00907244414353419,0.06174236301923388,0.016251205068172427,0.16802093375568103,0.7700016162922256,0.012930337805075158,0.0014546630030709553,161200.0,1193.0,743.0,0.2316146759334088,0.28460997891777934
51025,Brunswick County,Virginia,0.2566717019133938,0.018478798878072925,0.07095681625740898,0.004531722054380665,0.2818479355488419,0.7566469093988145,0.01100762066045724,0.004403048264182896,115100.0,1055.0,752.0,0.21862828111769683,0.26235212247738343
51029,Buckingham County,Virginia,0.20256338813039845,0.03788246721709568,0.0627183787561146,0.010030649205906938,0.2949289495681248,0.7407407407407407,0.01939203354297694,0.0019217330538085255,137100.0,1110.0,789.0,0.34870719776380155,0.316711590296496
51031,Campbell County,Virginia,0.11590285782423784,0.0278343250861259,0.04801510587600594,0.037839341786239516,0.18243968361222623,0.7303421301083487,0.014746212291507441,0.0016184867149215483,160300.0,1178.0,749.0,0.21836083262149886,0.17972657552517507
51033,Caroline County,Virginia,0.11096742907944718,0.026680054507638242,0.052,0.008405398852339771,0.08542794795118402,0.8151818181818182,0.023,0.005272727272727273,226600.0,1561.0,1058.0,0.17509090909090907,0.2749631087063453
51036,Charles City County,Virginia,0.10088929776142287,0.023507578100835137,0.03240109140518418,0.016865992026985587,0.13186139221097823,0.8461800818553888,0.0068212824010914054,0.0030695770804911324,173500.0,1299.0,829.0,0.3315143246930423,0.3614190687361419
51037,Charlotte County,Virginia,0.2327169748459104,0.014899211218229623,0.058619192357794184,0.01899050474762619,0.24104614359486923,0.683022145028224,0.01715154146765089,0.008901432913590968,124500.0,1132.0,664.0,0.32349109856708635,0.2541095890410959
51041,Chesterfield County,Virginia,0.039663681228294646,0.011459733306785689,0.06850399695470118,0.08237616523487479,0.012553463717784683,0.7662124095926913,0.015173201370384469,0.0023524933384088315,269500.0,1692.0,1345.0,0.0778682908260373,0.2767357040510616
51049,Cumberland County,Virginia,0.13971539456662355,0.009771986970684038,0.10802005012531328,0.007546356188012074,0.21172919361793877,0.7704260651629072,0.02030075187969925,0.0,170100.0,1206.0,741.0,0.24711779448621551,0.18013100436681223
51053,Dinwiddie County,Virginia,0.12798301486199576,0.01638071578293611,0.04304635761589404,0.02140127388535032,0.13070063694267517,0.7664589014413713,0.018504090377873005,0.007206856252434749,191800.0,1383.0,1088.0,0.20870666147253603,0.17639699749791493
51057,Essex County,Virginia,0.251566852367688,0.027126436781609194,0.08280995580367527,0.033426183844011144,0.12064763231197771,0.6664340544312631,0.02116771342172598,0.00023261223540358222,213100.0,1272.0,881.0,0.3063503140265178,0.3521617852161785
51073,Gloucester County,Virginia,0.12210948560641813,0.007986278608565149,0.031447386104018274,0.012151958470976876,0.09320434167059934,0.797271872060207,0.007122698562021234,0.0016126864668727322,242100.0,1494.0,1022.0,0.1441338529767504,0.20815379516075572
51075,Goochland County,Virginia,0.08400348803410522,0.018414876331467774,0.027290035963613287,0.049220036818137775,0.04611956205794012,0.8587899301882801,0.014068119314575842,0.008356251322191664,402300.0,1895.0,1286.0,0.11984345250687545,0.1752808988764045
51081,Greensville County,Virginia,0.2099776619508563,0.0425531914893617,0.0804272698711907,0.021841648051625712,0.16356415984115166,0.7348413446434181,0.02639019792648445,0.0,118100.0,1018.0,930.0,0.21143575243480994,0.20971563981042654
51083,Halifax County,Virginia,0.2232127451544257,0.02185508964291006,0.09077447060565674,0.012538103180537183,0.18726634842123427,0.7409299570561232,0.014289945209536503,0.002147193839774915,120300.0,1047.0,692.0,0.36443062342662524,0.29579879965704486
51085,Hanover County,Virginia,0.055794996720697085,0.010156166625164526,0.04877201686926321,0.044809331959149254,0.019628970298885037,0.8282064003969238,0.008310592904986355,0.0011659637806995782,304700.0,1798.0,1260.0,0.10292731332175642,0.2667148014440433
51087,Henrico County,Virginia,0.05264400040049776,0.023635019414480235,0.07244932623711924,0.13084834007981347,0.002989429719794602,0.6442154531385649,0.015528630204204884,0.0016230702449703696,268400.0,1651.0,1258.0,0.10488808364473634,0.31869973901419507
51089,Henry County,Virginia,0.19686827167743198,0.020144470444602706,0.05000974848898421,0.0369935408103347,0.20540223135642982,0.7236790797426399,0.014622733476311172,0.003265743809709495,98600.0,928.0,637.0,0.27597972314291286,0.24942670665020286
51093,Isle Of Wight County,Virginia,0.07611629048086359,0.009764255273237309,0.05935072694682334,0.048699705593719333,0.09200196270853778,0.778795724623249,0.006041293235079333,0.0022571864834362346,295500.0,1907.0,1124.0,0.18143796056562433,0.265906362545018
51095,James City County,Virginia,0.11912587723194457,0.018565063406831943,0.05496167809600645,0.08670160788842499,0.03272038139231885,0.7709425843754202,0.012841199408363587,0.0020505580207072745,352700.0,1918.0,1248.0,0.09829232217291917,0.32095685353683595
