FIPS,Tract,County,State,Insurance Coverage,Medicaid Enrollment,Gini Coefficient,Household Income,Annual Labor Force Participation Rate,Annual Unemployment Rate,Below Poverty,Received Public Assistance,Uninsured
51001090101,Census Tract 901.01,Accomack County,Virginia,0.9902964959568733,0.07601078167115903,0.4611,61020.0,0.5133495145631068,0.09219858156028368,0.013513513513513514,0.07183364839319471,0.009703504043126698
51001090102,Census Tract 901.02,Accomack County,Virginia,0.9221374045801527,0.10305343511450382,0.5378,35352.0,0.3785900783289817,0.07126436781609195,0.03804347826086957,0.06053268765133172,0.0778625954198473
51001090201,Census Tract 902.01,Accomack County,Virginia,0.9224779959377116,0.12491536899119837,0.3494,46319.0,0.38023116779593463,0.06918238993710692,0.13347022587268995,0.10461285008237232,0.07752200406228837
51001090202,Census Tract 902.02,Accomack County,Virginia,0.8581681476418318,0.24265208475734792,0.4315,49880.0,0.6248999199359487,0.033311979500320305,0.23029045643153526,0.18189102564102563,0.1418318523581682
51001090300,Census Tract 903,Accomack County,Virginia,0.7747278750591576,0.23331755797444392,0.491,46667.0,0.4972707423580786,0.04171240395170143,0.20508744038155802,0.17757009345794392,0.22527212494084237
51001090401,Census Tract 904.01,Accomack County,Virginia,0.8333333333333334,0.23496789258610626,0.3383,82913.0,0.7178916109873794,0.011892450879007239,0.09944751381215469,0.11044003451251079,0.16666666666666663
51001090402,Census Tract 904.02,Accomack County,Virginia,0.7801166624397666,0.23839715952320567,0.4545,47203.0,0.5330304089479203,0.04852459016393443,0.1523046092184369,0.11780455153949129,0.21988333756023337
51001090500,Census Tract 905,Accomack County,Virginia,0.8381156316916488,0.31605995717344754,0.4455,48958.0,0.6384,0.06015037593984962,0.18673647469458987,0.16447368421052633,0.16188436830835118
51001090600,Census Tract 906,Accomack County,Virginia,0.9292613636363637,0.19914772727272728,0.5069,58040.0,0.5388272583201268,0.03176470588235294,0.0351668169522092,0.08988186954288649,0.07073863636363631
51001090700,Census Tract 907,Accomack County,Virginia,0.9103271580607016,0.2085139929050059,0.4082,52089.0,0.6103799354358083,0.029698942229454843,0.0841683366733467,0.09172661870503597,0.08967284193929836
