FIPS,Tract,County,State,Vacancy Rate,No Vehicle,Single Parent Household,Multi-Unit Structures,Mobile Homes,Owner Occupied Housing,Crowded Housing,Lack Complete Plumbing,Median Home Value,Median Monthly Mortgage,Median Gross Rent,No Home Broadband,Rent Burden (40% Income)
51001090101,Census Tract 901.01,Accomack County,Virginia,0.5067599067599068,0.0,0.0,0.0,0.1062937062937063,0.7977315689981096,0.0,0.0,341100.0,1363.0,1002.0,0.12003780718336488,0.08878504672897196
51001090102,Census Tract 901.02,Accomack County,Virginia,0.6517706576728499,0.20088300220750552,0.020581113801452784,0.04258010118043845,0.23566610455311973,0.6585956416464891,0.0,0.014527845036319613,271100.0,1320.0,0.0,0.20581113801452788,0.12056737588652482
51001090201,Census Tract 902.01,Accomack County,Virginia,0.5802213001383126,0.0425531914893617,0.0,0.0,0.23029045643153526,0.7619439868204283,0.0,0.0,161700.0,1218.0,1181.0,0.2397034596375618,0.15916955017301038
51001090202,Census Tract 902.02,Accomack County,Virginia,0.1492842535787321,0.037914691943127965,0.040865384615384616,0.0,0.289025221540559,0.6786858974358975,0.0,0.04487179487179487,146700.0,986.0,796.0,0.2716346153846154,0.2169576059850374
51001090300,Census Tract 903,Accomack County,Virginia,0.31683958499600956,0.0034883720930232558,0.06074766355140187,0.0,0.16679968076616122,0.7885514018691588,0.004672897196261682,0.0011682242990654205,88600.0,1139.0,822.0,0.33060747663551404,0.13259668508287292
51001090401,Census Tract 904.01,Accomack County,Virginia,0.07131410256410256,0.15995260663507108,0.05349439171699741,0.0,0.2988782051282051,0.6824849007765315,0.059534081104400345,0.0,158800.0,1141.0,898.0,0.23295944779982747,0.20923913043478262
51001090402,Census Tract 904.02,Accomack County,Virginia,0.222684703433923,0.03941605839416058,0.107095046854083,0.04214360041623309,0.17065556711758584,0.49062918340026773,0.09036144578313253,0.0321285140562249,195200.0,1319.0,851.0,0.27710843373493976,0.21681997371879105
51001090500,Census Tract 905,Accomack County,Virginia,0.26034063260340634,0.0334841628959276,0.047149122807017545,0.0,0.07380373073803731,0.6447368421052632,0.01206140350877193,0.0,141300.0,1085.0,848.0,0.2741228070175439,0.20987654320987653
51001090600,Census Tract 906,Accomack County,Virginia,0.2580030487804878,0.08679706601466992,0.06317411402157165,0.04801829268292683,0.06326219512195122,0.7467899332306112,0.008731381612737545,0.004622496147919877,188200.0,1474.0,923.0,0.23831535695942474,0.1926977687626775
51001090700,Census Tract 907,Accomack County,Virginia,0.18295371050698017,0.042152466367713005,0.07419064748201439,0.0,0.14107274063188832,0.6047661870503597,0.002697841726618705,0.0,158900.0,1325.0,867.0,0.14568345323741005,0.3492605233219568
51001090800,Census Tract 908,Accomack County,Virginia,0.3234792495736214,0.006944444444444444,0.08907563025210084,0.014781125639567936,0.10176236498010233,0.5823529411764706,0.0,0.0033613445378151263,151100.0,1334.0,890.0,0.2697478991596639,0.2635814889336016
51001980100,Census Tract 9801,Accomack County,Virginia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
51001980200,Census Tract 9802,Accomack County,Virginia,,,,,,,,,0.0,0.0,0.0,,
51001990100,Census Tract 9901,Accomack County,Virginia,,,,,,,,,0.0,0.0,0.0,,
51001990200,Census Tract 9902,Accomack County,Virginia,,,,,,,,,0.0,0.0,0.0,,
51007930101,Census Tract 9301.01,Amelia County,Virginia,0.09579667644183773,0.0,0.08,0.0,0.34017595307917886,0.9318918918918919,0.00972972972972973,0.0,222700.0,1503.0,0.0,0.27567567567567564,0.0
51007930102,Census Tract 9301.02,Amelia County,Virginia,0.11409043112513144,0.0,0.0599406528189911,0.011041009463722398,0.33753943217665616,0.743620178041543,0.11394658753709198,0.0,183300.0,1423.0,1253.0,0.16795252225519286,0.16203703703703703
51007930200,Census Tract 9302,Amelia County,Virginia,0.06181818181818182,0.00533689126084056,0.017829457364341085,0.0,0.17272727272727273,0.8468992248062015,0.03992248062015504,0.0,217500.0,1231.0,825.0,0.25038759689922485,0.25569620253164554
51011040101,Census Tract 401.01,Appomattox County,Virginia,0.13051823416506717,0.004522613065326633,0.17071376011773362,0.04670505438259757,0.09149072296865003,0.7932303164091243,0.0029433406916850625,0.0,183700.0,1311.0,769.0,0.14863870493009568,0.28825622775800713
51011040102,Census Tract 401.02,Appomattox County,Virginia,0.09490445859872612,0.03319502074688797,0.05489092188599578,0.028662420382165606,0.08789808917197452,0.7382125263898663,0.021815622800844477,0.0,133900.0,1256.0,893.0,0.21674876847290636,0.5349462365591398
51011040200,Census Tract 402,Appomattox County,Virginia,0.13095788986580287,0.000881057268722467,0.014909478168264111,0.0,0.1962054604349838,0.7534611288604899,0.012779552715654952,0.003727369542066028,166100.0,1171.0,730.0,0.2678381256656017,0.16198704103671707
51011040300,Census Tract 403,Appomattox County,Virginia,0.22267412302999492,0.0,0.02877697841726619,0.0,0.26182003050330455,0.7992151733158928,0.013734466971877043,0.0013080444735120995,153000.0,1100.0,721.0,0.2746893394375409,0.16286644951140064
51025930100,Census Tract 9301,Brunswick County,Virginia,0.2552325581395349,0.02824858757062147,0.0234192037470726,0.004069767441860465,0.29069767441860467,0.7978142076502732,0.01873536299765808,0.0,101000.0,1103.0,969.0,0.2903981264637002,0.11969111969111969
51025930201,Census Tract 9302.01,Brunswick County,Virginia,0.22163865546218486,0.0,0.01349527665317139,0.0,0.32668067226890757,0.854251012145749,0.018893387314439947,0.016194331983805668,108600.0,1090.0,759.0,0.21727395411605943,0.12037037037037036
