FIPS,Tract,County,State,PM25,Lead Paint,Diesel PM,Air Toxics Cancer,Air Toxics Resp,Toxics Release to Air,Traffic Proximity,Water Discharge,Superfund Proximity,RMP Proximity,Hazardous Waste Proximity,Ozone,Underground Storage Tanks
51001090101,Census Tract 901.01,Accomack County,Virginia,6.51276520547945,0.201398601398601,0.075361664,20.0,0.2,6.765869111245136,2.074440256618677,3.7486819455e-05,0.013918479859922,0.056646330210117,0.097176325459144,60.34905,0.505161377758755
51001090102,Census Tract 901.02,Accomack County,Virginia,6.51276520547945,0.349915682967959,0.075361664,20.0,0.2,8.687377520951458,2.263466012145631,4.7588878058e-05,0.013668266487379,0.064435486332039,0.117363356504854,60.34905,0.608090306351456
51001090201,Census Tract 902.01,Accomack County,Virginia,6.62096054794521,0.042876901798064,0.085043763,20.0,0.2,23.339214072428568,5.947826798157143,8.9518791429e-05,0.014605043014286,0.084800519557143,0.524466914,58.92881,0.175505368757143
51001090202,Census Tract 902.02,Accomack County,Virginia,6.62096054794521,0.241990456714383,0.085043763,20.0,0.2,26.347698969845705,19.099838622944844,0.000556909842876,0.013260716576822,0.214682442668746,0.563770280190414,58.92881,0.322582616074196
51001090300,Census Tract 903,Accomack County,Virginia,6.56847479452055,0.37509976057462,0.077146052,20.0,0.2,30.442414085590062,8.257854888010034,0.016853372245103,0.012325980722408,0.275932170796942,0.094457144889632,60.05582,0.031229827779742
51001090401,Census Tract 904.01,Accomack County,Virginia,6.49623589041096,0.283653846153846,0.093301495,20.0,0.2,24.98512736101833,31.74009300494501,0.026354544046843,0.011472780388595,0.1639210371389,0.069269018219959,60.1366,0.174203249093686
51001090402,Census Tract 904.02,Accomack County,Virginia,6.49623589041096,0.209157127991675,0.093301495,20.0,0.2,117.13856487982324,26.47275888676318,0.057314911831759,0.011090126940872,0.374923029131058,0.040863922597988,60.1366,0.134680106715635
51001090500,Census Tract 905,Accomack County,Virginia,6.51478219178082,0.549878345498783,0.083231488,20.0,0.2,112.56182319829107,7.670191827909592,0.593477951418964,0.011630136357222,0.232647860464168,0.045926148315325,60.59861,0.40157643461742
51001090600,Census Tract 906,Accomack County,Virginia,6.49645753424658,0.399771341463414,0.082117484,20.0,0.2,5.787269543407692,6.71094117059359,0.007110916269,0.012340463942821,0.105400534581538,0.031086761888974,62.29952,0.186136938185128
51001090700,Census Tract 907,Accomack County,Virginia,6.47469643835616,0.415503306392358,0.09206144,20.0,0.2,5.890111616141763,34.879283535867245,0.000331820069655,0.012711639197318,0.07605119878295,0.025305928584483,63.10541,0.242520043509195
51001090800,Census Tract 908,Accomack County,Virginia,6.40249753424658,0.337123365548607,0.092387284,20.0,0.2,7.276542417552052,15.667214759976202,0.00011419031865,0.013070412122546,0.058742684478882,0.02269084114069,63.00582,0.113810179172516
51001980100,Census Tract 9801,Accomack County,Virginia,6.48205643835616,0.0,,,,6.09427199,0.927803778,3.00532e-05,0.013719096,0.050680984,0.078290385,60.55986,0.0
51001980200,Census Tract 9802,Accomack County,Virginia,6.53808082191781,0.0,0.055397563,20.0,0.2,0.0,,,0.0,0.0,0.0,59.8797,0.0
51001990100,Census Tract 9901,Accomack County,Virginia,,0.0,,,,,,,0.0,0.0,0.0,,0.0
51001990200,Census Tract 9902,Accomack County,Virginia,,0.0,,,,,,,0.0,0.0,0.0,,
51007930101,Census Tract 9301.01,Amelia County,Virginia,7.49340054794521,0.186705767350928,0.091014946,30.0,0.3,0.341520176940015,4.120483076645407,0.000121866678056,0.025359297067198,0.029734079009871,0.02502692654328,56.29863,0.025965198536446
51007930102,Census Tract 9301.02,Amelia County,Virginia,7.49340054794521,0.099369085173501,0.091014946,30.0,0.3,356.37339914844245,6.243137984665251,5.918193544e-06,0.02374382424581,0.033793025590615,0.034622181040223,56.29863,0.127064113987933
51007930200,Census Tract 9302,Amelia County,Virginia,7.62415917808219,0.184,0.097007343,30.0,0.3,851.216386176696,7.89811726859844,4.2900986358e-05,0.023459916927063,0.035651831743177,0.029516206062541,56.5521,0.141575735496264
51011040101,Census Tract 401.01,Appomattox County,Virginia,7.23871150684931,0.170825335892514,0.113819598,30.0,0.3,169.55818457822423,8.397703703489274,5.0046559e-06,0.027489731567744,0.050265746254684,0.052940024913114,56.96263,0.254373242373065
51011040102,Census Tract 401.02,Appomattox County,Virginia,7.23871150684931,0.320382165605095,0.113819598,30.0,0.3,152.97346638654935,10.19029686902554,9.567753598e-06,0.030821971523269,0.0475811231521,0.052048456035187,56.96263,0.976590845188422
51011040200,Census Tract 402,Appomattox County,Virginia,7.1280101369863,0.175381767700138,0.095814777,30.0,0.3,239.15119938198447,5.861090981687321,0.000776833045865,0.032917785338479,0.0693530584,0.084401201572216,56.71715,0.052388986755678
51011040300,Census Tract 403,Appomattox County,Virginia,7.22298054794521,0.180986273512963,0.095209333,30.0,0.3,119.08471659085676,5.636777676029701,9.05552017e-07,0.033004478078593,0.035161011577108,0.037189223298606,56.92834,0.081614001947681
51025930100,Census Tract 9301,Brunswick County,Virginia,7.58457095890411,0.275,0.103179292,30.0,0.3,62.93081628410703,6.786417197171792,8.746512371e-06,0.014463202794796,0.065789471805441,0.021854299428149,56.41878,0.070448246798344
51025930201,Census Tract 9302.01,Brunswick County,Virginia,7.61533260273973,0.204831932773109,0.095946857,30.0,0.3,149.3635430879581,3.824073939418848,8.330679267e-05,0.013177089157068,0.044673691434555,0.02392005321466,56.45188,0.207728044230366
